50px 	Авдіївка 	Донецька область 	37 210 	1778 	29.00
50px 	Алмазна 	Луганська область 	5 061 	1870 	1.33
50px 	Алупка 	Автономна Республіка Крим 	9 018 	Шаблон:Sort 	4.00
50px 	Алушта 	Автономна Республіка Крим 	31 440 	Шаблон:Sort 	7.00
50px 	Алчевськ 	Луганська область 	119 193 	1895 	50.00
50px 	Амвросіївка 	Донецька область 	22 130 	1869 	19.40
50px 	Ананьїв 	Одеська область 	9 476 	1753 	5.00
50px 	Андрушівка 	Житомирська область 	9 890 	1683 	6.80
50px 	Антрацит 	Луганська область 	63 698 	1895 	61.30
50px 	Апостолове 	Дніпропетровська область 	16 439 	1793 	15.83
50px 	Армянськ 	Автономна Республіка Крим 	23 869 	Шаблон:Sort 	16.20
50px 	Арциз 	Одеська область 	16 370 	1816 	118.00
50px 	Балаклія 	Харківська область 	32 408 	1663 	16.30
50px 	Балта 	Одеська область 	19 962 	1797 	23.00
50px 	Бар 	Вінницька область 	17 284 	Шаблон:Sort 	5.95
50px 	Баранівка 	Житомирська область 	12 584 	1566 	77.60
50px 	Барвінкове 	Харківська область 	12 998 	1653 	22.10
50px 	Батурин 	Чернігівська область 	3 066 	1625 	7.00
50px 	Бахмач 	Чернігівська область 	20 332 	Шаблон:Sort 	18.90
50px 	Бахмут 	Донецька область 	82 916 	1571 	41.60
50px 	Бахчисарай 	Автономна Республіка Крим 	27 549 	1502 	55.00
50px 	Баштанка 	Миколаївська область 	13 146 	1806 	17.14
50px 	Белз 	Львівська область 	2 478 	1030 [1] 	5.85
50px 	Бердичів 	Житомирська область 	87 575 	1430 	35.33
50px 	Бердянськ 	Запорізька область 	121 692 	1827 	82.00
50px 	Берегове 	Закарпатська область 	26 735 	1063 	19.00
50px 	Бережани 	Тернопільська область 	17 617 	1375 	12.00
50px 	Березань 	Київська область 	17 367 	1616 [1] 	32.90
50px 	Березівка 	Одеська область 	9 481 	1802 	34.50
50px 	Березне 	Рівненська область 	13 669 	1584 [1] 	3.50
50px 	Берестечко 	Волинська область 	1 904 	1445 	9.80
50px 	Берислав 	Херсонська область 	15 455 	1784 	9.00
50px 	Бершадь 	Вінницька область 	13 336 	1459 [1] 	7.10
50px 	Бібрка 	Львівська область 	3 980 	1211 [1] 	5.14
50px 	Біла Церква 	Київська область 	200 131 	1032 	67.80
50px 	Білгород-Дністровський 	Одеська область 	51 890 	498 до н. е. 	31.00
50px 	Білицьке 	Донецька область 	10 093 	1909 	2.00
50px 	Білогірськ 	Автономна Республіка Крим 	18 790 	Шаблон:Sort 	5.40
50px 	Білозерське 	Донецька область 	17 868 	1913 	2.50
50px 	Білопілля 	Сумська область 	18 384 	Шаблон:Sort 	23.10
50px 	Біляївка 	Одеська область 	14 294 	1792 	14.50
50px 	Благовіщенське 	Кіровоградська область 	7 526 	1870 	7.00
50px 	Бобринець 	Кіровоградська область 	12 300 	1767 	18.13
50px 	Бобровиця 	Чернігівська область 	11 916 	Шаблон:Sort 	18.90
50px 	Богодухів 	Харківська область 	18 224 	1662 	16.20
50px 	Богуслав 	Київська область 	17 135 	1032 	71.00
50px 	Боково-Хрустальне 	Луганська область 	14 773 	1954 	28.00
50px 	Болград 	Одеська область 	17 353 	1821 	94.00
50px 	Болехів 	Івано-Франківська область 	10 633 	1371 [1] 	36.70
50px 	Борзна 	Чернігівська область 	11 707 	Шаблон:Sort 	107.80
50px 	Борислав 	Львівська область 	38 122 	1387 	37.00
50px 	Бориспіль 	Київська область 	53 975 	1015 [1] 	37.00
50px 	Борщів 	Тернопільська область 	11 382 	1456 	3.00
50px 	Боярка 	Київська область 	35 968 	Шаблон:Sort 	13.00
50px 	Бровари 	Київська область 	86 839 	1628 [1] 	34.00
50px 	Броди 	Львівська область 	23 239 	1084 	8.67
50px 	Брянка 	Луганська область 	54 767 	1696 	63.50
50px 	Бунге 	Донецька область 	17 813 	1908 	5.40
50px 	Буринь 	Сумська область 	11 678 	Шаблон:Sort 	16.70
50px 	Бурштин 	Івано-Франківська область 	15 298 	1596 	32.70
50px 	Буськ 	Львівська область 	8 673 	1097 	3.85
50px 	Буча 	Київська область 	28 533 	1630 	26.57
50px 	Бучач 	Тернопільська область 	12 549 	1260 [1] 	10.00
50px 	Валки 	Харківська область 	10 381 	1646 	13.00
50px 	Вараш 	Рівненська область 	38 830 	1973 	11.30
50px 	Василівка 	Запорізька область 	15 592 	1784 	10.20
50px 	Васильків 	Київська область 	39 722 	998 	21.00
50px 	Ватутіне 	Черкаська область 	20 156 	1947 	10.90
50px 	Вашківці 	Чернівецька область 	5 987 	1430-ті [1] 	6.80
50px 	Великі Мости 	Львівська область 	5 925 	1472 	7.91
50px 	Верхівцеве 	Дніпропетровська область 	10 142 	1884 	14.00
50px 	Верхньодніпровськ 	Дніпропетровська область 	16 976 	1780 	10.00
50px 	Вижниця 	Чернівецька область 	5 021 	1158 	2.70
50px 	Вилкове 	Одеська область 	9 260 	1762 	3.50
50px 	Винники 	Львівська область 	13 654 	1368 [1] 	6.70
50px 	Виноградів 	Закарпатська область 	25 760 	1262 	32.10
50px 	Вишгород 	Київська область 	22 933 	946 	8.70
50px 	Вишневе 	Київська область 	34 465 	1887 	25.20
50px 	Вільногірськ 	Дніпропетровська область 	23 782 	1956 	10.00
50px 	Вільнянськ 	Запорізька область 	16 522 	1840 	4.20
50px 	Вінниця 	Вінницька область 	356 665 	1355 	113.20
50px 	Вовчанськ 	Харківська область 	20 695 	1780 	70.00
50px 	Вознесенівка 	Луганська область 	17 680 	1947 	6.90
50px 	Вознесенськ 	Миколаївська область 	42 634 	1795 	22.60
50px 	Волноваха 	Донецька область 	24 647 	1881 	11.24
50px 	Володимир-Волинський 	Волинська область 	38 256 	Шаблон:Sort 	16.00
50px 	Волочиськ 	Хмельницька область 	20 958 	1463 [1] 	14.60
50px 	Ворожба 	Сумська область 	8 384 	1894 	14.80
50px 	Вуглегірськ 	Донецька область 	10 309 	1879 	7.30
50px 	Вугледар 	Донецька область 	17 440 	1964 	5.30
50px 	Гадяч 	Полтавська область 	22 698 	1533 	17.80
50px 	Гайворон 	Кіровоградська область 	16 126 	1796 	57.10
50px 	Гайсин 	Вінницька область 	25 640 	1545 [1] 	18.26
50px 	Галич 	Івано-Франківська область 	6 495 	898 [1] 	24.67
